"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2015-04-01","00:35:58",504726,"3.1.3","x86_64","mingw32","reshape2","1.4.1","US",1
"2015-04-01","00:36:00",389303,"3.1.3","x86_64","mingw32","foreach","1.4.2","US",1
"2015-04-01","00:36:05",1155433,"3.1.3","x86_64","mingw32","plyr","1.8.1","US",1
"2015-04-01","00:36:07",499011,"3.1.3","x86_64","mingw32","BradleyTerry2","1.0-6","US",1
"2015-04-01","00:36:08",18299,"3.1.3","x86_64","linux-gnu","crayon","1.1.0","US",2
"2015-04-01","00:36:04",12810,"3.0.2","x86_64","linux-gnu","mime","0.3","NZ",3
"2015-04-01","00:35:45",71094,NA,NA,NA,"gemtc","0.6-1","FR",4
"2015-04-01","00:35:56",395331,"3.1.3","x86_64","darwin13.4.0","colorspace","1.2-6","CA",5
"2015-04-01","00:35:59",128340,"3.1.2","x86_64","darwin13.4.0","digest","0.6.8","CA",5
"2015-04-01","00:36:00",5746386,"3.1.3","x86_64","darwin13.4.0","igraph","0.7.1","US",6
"2015-04-01","00:35:58",73317,"3.1.1","x86_64","linux-gnu","stringr","0.6.2","CA",5
"2015-04-01","00:35:27",527793,"3.1.2","x86_64","mingw32","ggm","2.3","US",7
"2015-04-01","00:36:02",274037,"3.1.2","x86_64","mingw32","RGIFT","0.1-5","US",8
"2015-04-01","00:36:03",17255,"3.1.2","x86_64","mingw32","RGenetics","0.1","US",8
"2015-04-01","00:34:03",14616,NA,NA,NA,"FFD","1.0-6","CN",9
"2015-04-01","00:35:05",14616,NA,NA,NA,"tm","0.6","CN",9
"2015-04-01","00:36:01",161788,"3.0.2","x86_64","linux-gnu","RGA","0.2.1","US",8
"2015-04-01","00:35:35",98502,"3.1.3","x86_64","mingw32","digest","0.6.8","US",10
"2015-04-01","00:36:04",1155433,"3.0.2","x86_64","linux-gnu","plyr","1.8.1","US",11
"2015-04-01","00:36:05",18464,"3.0.2","x86_64","linux-gnu","evaluate","0.5.5","NZ",3
"2015-04-01","00:36:08",588526,"3.0.2","x86_64","linux-gnu","boot","1.3-15","US",12
"2015-04-01","00:36:06",29126,"3.1.2","x86_64","mingw32","formatR","1.1","NZ",3
"2015-04-01","00:36:06",17748,"3.1.2","x86_64","mingw32","highr","0.4.1","NZ",3
"2015-04-01","00:36:12",81567,"3.1.2","x86_64","mingw32","yaml","2.1.13","NZ",3
"2015-04-01","00:36:07",122566,"3.1.2","x86_64","mingw32","gtools","3.4.1","US",13
"2015-04-01","00:36:10",829635,"3.1.2","x86_64","linux-gnu","gdata","2.13.3","US",13
"2015-04-01","00:36:10",77469,"3.1.2","x86_64","darwin13.4.0","gmodels","2.15.4.1","US",13
"2015-04-01","00:36:15",222742,"3.1.3","x86_64","linux-gnu","RGtk2Extras","0.6.1","US",8
"2015-04-01","00:35:29",73152,"3.1.3","x86_64","linux-gnu","svMisc","0.9-70","US",10
"2015-04-01","00:36:18",630266,"3.1.2","x86_64","darwin10.8.0","texreg","1.34","CO",14
"2015-04-01","00:35:23",16015,"3.0.2","x86_64","linux-gnu","microbenchmark","1.4-2","US",2
"2015-04-01","00:36:22",201026,"3.1.3","x86_64","linux-gnu","magrittr","1.5","US",2
"2015-04-01","00:36:13",94175,"3.1.3","x86_64","linux-gnu","KernSmooth","2.23-14","HK",15
"2015-04-01","00:36:07",78420,"3.1.2","x86_64","darwin13.4.0","markdown","0.7.4","NZ",3
"2015-04-01","00:36:15",18299,"3.1.3","x86_64","linux-gnu","crayon","1.1.0","US",16
"2015-04-01","00:36:23",83917,"3.1.2","x86_64","darwin13.4.0","rex","0.2.0","US",2
"2015-04-01","00:36:20",516702,"3.1.1","x86_64","darwin13.1.0","rpart.plot","1.5.2","US",17
"2015-04-01","00:36:07",50049,"3.1.1","i386","mingw32","testthat","0.9.1","US",2
"2015-04-01","00:36:14",897960,"3.1.3","x86_64","linux-gnu","rpart","4.1-9","US",17
"2015-04-01","00:36:26",2949221,"3.1.3","x86_64","linux-gnu","Rcpp","0.11.5","US",18
"2015-04-01","00:36:21",50283,"3.1.2","x86_64","mingw32","treatSens","1.0","JP",19
"2015-04-01","00:36:02",17745,"3.1.1","x86_64","darwin13.1.0","highr","0.4.1","US",16
"2015-04-01","00:35:19",487412,"2.13.1","x86_64","mingw32","MASS","7.3-40","KR",20
"2015-04-01","00:36:14",6802506,"2.13.1","x86_64","mingw32","RGraphics","2.0-12","US",8
"2015-04-01","00:36:21",97018,"3.1.3","x86_64","darwin13.4.0","fracdiff","1.4-2","US",18
"2015-04-01","00:34:03",767926,"3.1.3","x86_64","darwin13.4.0","gdata","2.8.2","ES",21
"2015-04-01","00:34:11",767926,"3.1.1","x86_64","mingw32","gdata","2.8.2","ES",21
"2015-04-01","00:35:57",2949221,"3.1.1","x86_64","mingw32","Rcpp","0.11.5","CA",5
"2015-04-01","00:35:59",63655,"3.1.2","x86_64","mingw32","gtable","0.1.2","CA",5
"2015-04-01","00:36:29",507173,"3.1.2","x86_64","mingw32","permute","0.8-3","US",22
"2015-04-01","00:36:30",2847272,"3.1.3","i386","mingw32","vegan","2.2-1","US",22
"2015-04-01","00:36:34",1619162,"3.1.3","i386","mingw32","RH2","0.2.3","US",8
"2015-04-01","00:36:37",24140,"3.1.3","i386","mingw32","RIFS","0.1-5","US",8
"2015-04-01","00:36:27",223383,"3.1.3","i386","mingw32","mvtnorm","1.0-2","ID",23
"2015-04-01","00:36:29",784512,"3.1.3","i386","mingw32","strucchange","1.5-0","ID",23
"2015-04-01","00:36:30",1074280,"3.1.3","i386","mingw32","coin","1.0-24","ID",23
"2015-04-01","00:36:32",896773,"3.1.3","x86_64","mingw32","zoo","1.7-12","ID",23
"2015-04-01","00:36:33",504714,"3.1.3","i386","mingw32","sandwich","2.3-3","ID",23
"2015-04-01","00:36:35",705388,"3.1.3","x86_64","mingw32","party","1.0-20","ID",23
"2015-04-01","00:36:09",183483,"3.1.3","x86_64","darwin13.4.0","sperich","1.5-5","MX",24
"2015-04-01","00:36:12",96313,"3.1.3","x86_64","darwin13.4.0","gridExtra","0.9.1","JP",25
"2015-04-01","00:36:35",4007147,"3.1.3","x86_64","darwin13.4.0","caret","6.0-41","US",1
"2015-04-01","00:35:58",127188,"3.1.1","x86_64","darwin13.1.0","munsell","0.4.2","CA",5
"2015-04-01","00:35:59",155855,"3.1.1","x86_64","darwin13.1.0","scales","0.2.4","CA",5
"2015-04-01","00:36:01",2663254,"3.1.3","i386","mingw32","ggplot2","1.0.1","CA",5
"2015-04-01","00:36:31",395327,"3.1.3","i386","mingw32","colorspace","1.2-6","US",18
"2015-04-01","00:36:35",1237731,"3.1.3","i386","mingw32","forecast","5.9","US",18
"2015-04-01","00:35:24",759920,"3.1.2","x86_64","mingw32","rJava","0.9-6","AU",26
"2015-04-01","00:35:51",9485618,"3.1.2","x86_64","mingw32","xlsxjars","0.6.1","AU",26
"2015-04-01","00:35:53",401464,"3.1.2","x86_64","mingw32","xlsx","0.5.7","AU",26
"2015-04-01","00:36:31",13914989,"3.1.2","x86_64","mingw32","RGtk2","2.20.31","US",8
